,,,,test_nr,test_nr,test_nr,label,total_sum,total_sum,spectral_centroid,spectral_centroid,short_long_sum_ratio,short_long_sum_ratio
,,,,count,min,max,first,mean,std,mean,std,mean,std
bead_type,buffer_type,condition,salt_concentration,,,,,,,,,,
0.45micron_0.1%_solids,0.05%_tween,salt_0_mg_per_mL,0.0,301,0,0,salt_0_mg_per_mL,50005.16,135.723,556.989,1.055,0.477,0.028
0.45micron_0.1%_solids,0.05%_tween,salt_360_mg_per_mL,360.0,301,0,0,salt_360_mg_per_mL,60494.313,504.615,554.834,0.986,0.511,0.03
0.45micron_0.1%_solids,0.05%_tween_micro_cuvette_optical_window_to_LED,salt_0_mg_per_mL,0.0,61,0,0,salt_0_mg_per_mL,68936.55,220.936,551.369,1.643,0.6,0.078
0.45micron_0.1%_solids,0.05%_tween_micro_cuvette_optical_window_to_LED,salt_360_mg_per_mL,360.0,61,0,0,salt_360_mg_per_mL,64525.017,210.686,547.606,1.153,0.634,0.083
0.45micron_0.1%_solids,0.05%_tween_micro_cuvette_optical_window_to_detector,salt_0_mg_per_mL,0.0,61,0,0,salt_0_mg_per_mL,48799.9,152.07,554.273,2.021,0.492,0.064
0.45micron_0.1%_solids,0.05%_tween_micro_cuvette_optical_window_to_detector,salt_360_mg_per_mL,360.0,61,0,0,salt_360_mg_per_mL,52488.833,206.726,549.354,1.381,0.584,0.076
0.45micron_0.144%_solids,0.05%_tween,salt_186.9_mg_per_mL,186.9,1201,0,0,salt_186.9_mg_per_mL,174463.612,375.256,557.158,0.532,0.478,0.014
0.45micron_0.144%_solids,0.05%_tween,salt_6.9_mg_per_mL,6.9,1201,0,0,salt_6.9_mg_per_mL,178234.108,421.483,557.544,0.543,0.468,0.014
0.45micron_0.3%_solids,0.05%_tween,salt_0_mg_per_mL,0.0,1201,0,0,salt_0_mg_per_mL,113333.992,271.941,558.981,0.584,0.448,0.013
0.45micron_0.3%_solids,0.05%_tween,salt_14.4_mg_per_mL,14.4,1201,0,0,salt_14.4_mg_per_mL,118195.263,138.961,558.922,0.583,0.448,0.013
0.45micron_0.3%_solids,0.05%_tween,salt_3.6_mg_per_mL,3.6,1201,0,0,salt_3.6_mg_per_mL,115558.701,304.978,558.998,0.585,0.447,0.013
0.45micron_0.3%_solids,0.05%_tween,salt_7.2_mg_per_mL,7.2,1201,0,0,salt_7.2_mg_per_mL,113080.17,273.22,558.949,0.584,0.449,0.013
0.45micron_functionalized_0.002%_solids,RB_mixed,CRP_0_ng_per_mL,0.0,280,0,0,CRP_0_ng_per_mL,3972.656,10.015,546.313,0.455,0.695,0.042
0.45micron_functionalized_0.002%_solids,RB_mixed,CRP_1000_ng_per_mL,0.0,61,0,0,CRP_1000_ng_per_mL,3936.583,6.445,546.482,1.007,0.679,0.088
0.45micron_functionalized_0.002%_solids,RB_mixed,CRP_100_ng_per_mL,0.0,61,0,0,CRP_100_ng_per_mL,3780.283,21.092,546.135,0.962,0.686,0.089
0.45micron_functionalized_0.002%_solids,RB_mixed,CRP_10_ng_per_mL,0.0,61,0,0,CRP_10_ng_per_mL,4299.083,65.232,546.43,1.003,0.677,0.088
0.45micron_functionalized_0.002%_solids,RB_unmixed,CRP_0_ng_per_mL,0.0,301,0,0,CRP_0_ng_per_mL,4170.173,14.444,547.143,0.486,0.678,0.039
0.45micron_functionalized_0.002%_solids,RB_unmixed,CRP_1000_ng_per_mL,0.0,61,0,0,CRP_1000_ng_per_mL,3614.467,11.136,546.555,1.017,0.677,0.088
0.45micron_functionalized_0.002%_solids,RB_unmixed,CRP_100_ng_per_mL,0.0,61,0,0,CRP_100_ng_per_mL,3388.683,12.39,546.485,1.007,0.678,0.088
0.45micron_functionalized_0.002%_solids,RB_unmixed,CRP_10_ng_per_mL,0.0,61,0,0,CRP_10_ng_per_mL,3546.883,11.532,546.497,1.009,0.678,0.088
