true_label,level1_pred,level1_conf,level2_pred,level2_conf,level3_pred,level3_conf
beads_in_tween_buffer,particle,1.0,no_agglutination,0.998679089771393,beads_in_tween_buffer,0.9992993630573248
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,1.0,beads_in_running_buffer_with_CRP,1.0
beads_in_running_buffer,particle,1.0,no_agglutination,0.9524215165320323,beads_in_running_buffer,0.9217109578450458
beads_in_tween_buffer_with_salt,particle,1.0,agglutination,0.9700047527973433,beads_in_tween_buffer_with_salt,0.9967204478103392
tween_buffer_with_salt,no_particle,1.0,not_applicable,,tween_buffer_with_salt,1.0
beads_in_running_buffer,particle,1.0,no_agglutination,0.9867853141181806,beads_in_running_buffer,1.0
beads_in_tween_buffer,particle,1.0,no_agglutination,0.9791238486985371,beads_in_tween_buffer,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,1.0,beads_in_running_buffer_with_CRP,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,1.0,beads_in_running_buffer_with_CRP,1.0
blanco,no_particle,0.9571428571428571,not_applicable,,blanco,1.0
beads_in_tween_buffer,particle,1.0,no_agglutination,0.9841697451165143,beads_in_tween_buffer,0.9969133206329807
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,0.9069481955573003,beads_in_running_buffer_with_CRP,0.9807557813277754
beads_in_tween_buffer_with_salt,particle,1.0,agglutination,0.8898323797723922,beads_in_tween_buffer_with_salt,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,1.0,beads_in_running_buffer_with_CRP,0.9948405918755118
beads_in_running_buffer,particle,1.0,no_agglutination,0.9994070535718457,beads_in_running_buffer,1.0
tween_buffer_with_salt,no_particle,1.0,not_applicable,,tween_buffer_with_salt,1.0
tween_buffer,no_particle,1.0,not_applicable,,tween_buffer,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,0.9959944751381216,beads_in_running_buffer_with_CRP,0.9983620265617315
tween_buffer_with_salt,no_particle,1.0,not_applicable,,tween_buffer_with_salt,1.0
beads_in_tween_buffer,particle,1.0,no_agglutination,0.9883745381448368,beads_in_tween_buffer,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,1.0,beads_in_running_buffer_with_CRP,1.0
tween_buffer_with_salt,no_particle,1.0,not_applicable,,tween_buffer_with_salt,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,1.0,beads_in_running_buffer_with_CRP,1.0
beads_in_running_buffer,particle,1.0,no_agglutination,0.9839560547498253,beads_in_running_buffer,0.9973598496811467
tween_buffer_with_salt,no_particle,1.0,not_applicable,,tween_buffer_with_salt,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,1.0,beads_in_running_buffer_with_CRP,1.0
beads_in_running_buffer,particle,1.0,no_agglutination,0.999946687291963,beads_in_running_buffer,1.0
blanco,no_particle,1.0,not_applicable,,blanco,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,1.0,beads_in_running_buffer_with_CRP,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,1.0,beads_in_running_buffer_with_CRP,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,0.9631393338811606,beads_in_running_buffer_with_CRP,1.0
beads_in_tween_buffer_with_salt,particle,1.0,agglutination,0.8709707417151283,beads_in_tween_buffer_with_salt,1.0
tween_buffer,no_particle,1.0,not_applicable,,tween_buffer,1.0
beads_in_tween_buffer_with_salt,particle,1.0,agglutination,0.9994833729216152,beads_in_tween_buffer_with_salt,1.0
tween_buffer_with_salt,no_particle,1.0,not_applicable,,tween_buffer_with_salt,1.0
beads_in_tween_buffer_with_salt,particle,1.0,agglutination,0.9835289314857891,beads_in_tween_buffer_with_salt,0.9983296703296703
tween_buffer_with_salt,no_particle,1.0,not_applicable,,tween_buffer_with_salt,1.0
blanco,no_particle,1.0,not_applicable,,blanco,1.0
beads_in_running_buffer,particle,1.0,no_agglutination,0.9786298667415345,beads_in_running_buffer,1.0
beads_in_tween_buffer_with_salt,particle,0.9846153846153847,agglutination,0.9835289314857891,beads_in_tween_buffer_with_salt,1.0
beads_in_running_buffer,particle,1.0,no_agglutination,0.9969608044839954,beads_in_running_buffer,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,1.0,beads_in_running_buffer_with_CRP,1.0
beads_in_running_buffer_with_CRP,particle,1.0,agglutination,1.0,beads_in_running_buffer_with_CRP,1.0
beads_in_running_buffer,particle,1.0,no_agglutination,0.9812488405923903,beads_in_running_buffer,0.9701176318263178
blanco,no_particle,1.0,not_applicable,,blanco,1.0
beads_in_tween_buffer,particle,1.0,no_agglutination,0.9915842868948603,beads_in_tween_buffer,1.0
beads_in_tween_buffer,particle,1.0,no_agglutination,0.9980190350518306,beads_in_tween_buffer,0.9992993630573248
beads_in_running_buffer,particle,1.0,no_agglutination,0.999946687291963,beads_in_running_buffer,1.0
